priority_order,skill_name_en,priority_type,warning
1,Data analytics,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
2,Data cleaning,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
3,Data preparation,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
4,Data visualization and storyboarding,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
5,Database modelling,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
6,Data management,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
7,Data collection and analysis,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
8,Data processing,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
9,Data warehousing,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
10,Data engineering,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
11,Database management & configuration,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
12,Knowledge of big data tools and platforms,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
13,Machine learning,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
14,"Artificial intelligence, machine learning & deep learning application",transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
15,Natural language processing,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
16,Data design,transparent_product_heuristic,Not an official Saudi priority ranking and not inferred from Jadarat posting frequency.
